game_id,created_at,color,result,player_rating,opponent_rating,opponent_name,variant,speed,rated,status,rating_diff
BZlVXbm2,2025-05-24 19:13:12.218,Black,Win,3028,1820.0,Roseberline,standard,bullet,True,resign,1208.0
apzXqc2m,2024-06-22 19:10:33.916,Black,Win,3018,2892.0,jonasbjerre,standard,bullet,True,mate,126.0
WIPbQ2uh,2024-06-22 19:08:36.764,White,Win,3007,2875.0,DrAgnevstein,standard,bullet,True,resign,132.0
0zgPiLLC,2024-06-22 19:07:05.166,White,Win,2999,2782.0,DmitriyBiryuk777,standard,bullet,True,mate,217.0
7Yn8tQRZ,2024-06-22 19:04:51.379,Black,Win,2988,2833.0,Mortred07,standard,bullet,True,resign,155.0
2KJCBnT4,2024-06-22 19:03:15.224,White,Loss,3021,2702.0,AmbartsumianTyhran,standard,bullet,True,outoftime,319.0
xtXialtC,2024-06-22 19:02:01.777,White,Loss,3053,2765.0,BryanL,standard,bullet,True,outoftime,288.0
FmWRUOb5,2024-06-22 19:00:30.346,Black,Win,3049,2663.0,satrancdelisi23,standard,bullet,True,mate,386.0
bnrQVFwg,2024-06-22 18:58:35.823,Black,Draw,3063,2765.0,Alamzhi,standard,bullet,True,draw,298.0
QHPVrTI9,2024-06-22 18:56:07.308,White,Win,3047,2959.0,Bestinblitz,standard,bullet,True,outoftime,88.0
YB1gWnQG,2024-06-22 18:53:57.427,Black,Win,3046,2365.0,ivanrojo,standard,bullet,True,mate,681.0
5m6KZ6Aj,2024-06-22 18:53:03.202,White,Loss,3085,2760.0,AkibaRubi,standard,bullet,True,resign,325.0
DGe4uZ0J,2024-06-22 18:51:28.067,Black,Win,3083,2484.0,Bagheeraimlikeyou,standard,bullet,True,mate,599.0
y0gKUFrf,2024-06-22 18:49:47.691,White,Win,3080,2597.0,jesselroy99,standard,bullet,True,resign,483.0
Efrc0xxt,2024-06-22 18:48:13.647,Black,Win,3079,2441.0,smotherhubbard,standard,bullet,True,resign,638.0
BMrcRCpP,2024-06-22 18:46:20.396,Black,Loss,3125,2407.0,serena-maria,standard,bullet,True,outoftime,718.0
4lb1YWHp,2024-06-22 18:44:46.212,White,Win,3124,2394.0,hugo314,standard,bullet,True,mate,730.0
0Ir1FJhz,2024-06-22 18:43:31.062,Black,Win,3124,2300.0,dragan961,standard,bullet,True,resign,824.0
JD9cwOBV,2024-06-22 18:41:38.030,White,Loss,3170,2560.0,HelonosGR,standard,bullet,True,outoftime,610.0
9plEHNLK,2024-06-22 18:39:25.435,Black,Win,3167,2650.0,SILVERKNIGHT101,standard,bullet,True,outoftime,517.0
oHFOtZq4,2024-06-22 18:38:07.375,White,Win,3167,2291.0,IngOscarArdila,standard,bullet,True,mate,876.0
r2fwyai2,2024-06-22 18:36:35.478,Black,Win,3159,2877.0,K-Georgiev,standard,bullet,True,resign,282.0
PNKPc00p,2024-06-22 18:35:20.122,White,Loss,3209,2528.0,Proteuo,standard,bullet,True,resign,681.0
ILh7x5lK,2024-06-22 18:33:47.160,Black,Win,3208,2345.0,Lelouch_Vi_Brittania,standard,bullet,True,resign,863.0
IyFe2k8U,2024-03-24 17:30:10.255,Black,Win,3130,2436.0,Gvein,standard,blitz,True,resign,694.0
FdVI4HR4,2023-12-22 17:00:03.288,Black,Win,3115,3065.0,WowFlow,standard,blitz,True,resign,50.0
NOH9m1vV,2023-07-15 23:28:59.014,Black,Loss,3217,3073.0,penguingim1,standard,bullet,True,resign,144.0
DlnKVdID,2023-07-15 23:27:14.155,Black,Win,3213,3050.0,MatthewG-p4p,standard,bullet,True,resign,163.0
R3QuS4LL,2023-07-15 23:26:18.545,White,Win,3209,3075.0,penguingim1,standard,bullet,True,resign,134.0
U4XRlo1O,2023-07-15 23:23:50.275,Black,Win,3205,3119.0,KontraJaKO,standard,bullet,True,mate,86.0
CjNfGKGP,2023-07-15 23:22:05.368,White,Win,3201,3053.0,mutdpro,standard,bullet,True,resign,148.0
XtuFvvee,2023-07-15 23:20:30.734,Black,Win,3200,2714.0,SSJGSSJ,standard,bullet,True,resign,486.0
lc8fR5aZ,2023-07-15 23:19:24.805,White,Win,3199,2733.0,PavelMart,standard,bullet,True,resign,466.0
J29UOrto,2023-07-15 23:17:54.263,Black,Win,3195,3053.0,mutdpro,standard,bullet,True,resign,142.0
J2fJL61x,2023-07-15 23:16:33.945,White,Win,3194,2839.0,BlackBoarder,standard,bullet,True,resign,355.0
WjOZJ4sD,2023-07-15 23:14:48.883,Black,Win,3191,2938.0,Fandorine96,standard,bullet,True,resign,253.0
Jc5BJwDG,2023-07-15 23:12:03.401,White,Win,3187,3064.0,mutdpro,standard,bullet,True,outoftime,123.0
osuDa7tu,2023-07-15 23:10:23.676,Black,Loss,3196,3070.0,penguingim1,standard,bullet,True,resign,126.0
7bDriOVi,2023-07-15 23:08:18.317,White,Draw,3198,3084.0,Night-King96,standard,bullet,True,draw,114.0
ET8fuLQN,2023-07-15 23:05:58.562,White,Win,3196,2809.0,pasino,standard,bullet,True,resign,387.0
Hz5GFRPV,2023-07-15 23:04:13.785,Black,Loss,3205,3116.0,RebeccaHarris,standard,bullet,True,resign,89.0
uV25WCwX,2023-07-15 23:02:51.783,White,Win,3200,3097.0,Zhigalko_Sergei,standard,bullet,True,resign,103.0
3IbHSUKx,2023-07-15 23:00:38.512,Black,Win,3195,3056.0,mutdpro,standard,bullet,True,resign,139.0
I3E5nd6S,2023-07-15 22:59:12.212,Black,Win,3194,2727.0,Umid-2006,standard,bullet,True,resign,467.0
